date;precipitation
2002-01;2384818,992
2002-02;1606819,03
2002-03;5088120,622
2002-04;4221262,77
2002-05;2909123,594
2002-06;2397032,276
2002-07;3093344,64
2002-08;3018473,628
2002-09;3467675,791
2002-10;5168127,937
2002-11;3451753,202
2002-12;4909187,827
2003-01;1892962,274
2003-02;3942415,304
2003-03;2940717,199
2003-04;2819850,006
2003-05;2199009,566
2003-06;2427144,812
2003-07;1637056,528
2003-08;1582081,93
2003-09;1947659,607
2003-10;2823213,766
2003-11;3299019,043
2003-12;3676677,381
2004-01;1343956,819
2004-02;1447358,165
2004-03;1012181,096
2004-04;2772381,129
2004-05;1752204,697
2004-06;1510166,854
2004-07;1809428,848
2004-08;1241283,981
2004-09;2379460,401
2004-10;2519994,963
2004-11;2539319,467
2004-12;1437339,097
2005-01;1863124,261
2005-02;1066585,238
2005-03;1919880,664
2005-04;3890696,644
2005-05;3758821,333
2005-06;3294335,948
2005-07;1070574,306
2005-08;2219415,817
2005-09;2809063,569
2005-10;3110874,304
2005-11;1230046,634
2005-12;1738122,441
2006-01;2359449,745
2006-02;1371233,265
2006-03;2074558,421
2006-04;1386920,469
2006-05;1125143,743
2006-06;2512323,32
2006-07;1769982,684
2006-08;2113734,571
2006-09;1985418,093
2006-10;2399914,821
2006-11;2916823,042
2006-12;2715039,062
2007-01;2123083,724
2007-02;3087831,406
2007-03;4300073,528
2007-04;2651312,787
2007-05;2692249,311
2007-06;2276147,428
2007-07;1864288,806
2007-08;2220737,467
2007-09;2847955,285
2007-10;3798518,9
2007-11;1982324,264
2007-12;1820667,58
2008-01;1673036,535
2008-02;1788303,112
2008-03;1330813,969
2008-04;1817761,845
2008-05;2035957,246
2008-06;2103578,286
2008-07;1856080,589
2008-08;2092409,256
2008-09;1686565,245
2008-10;3825144,909
2008-11;1079709,924
2008-12;1096163,361
2009-01;2287484,962
2009-02;2768031,653
2009-03;1877401,782
2009-04;492448,4207
2009-05;2155227,119
2009-06;1466703,889
2009-07;1845242,32
2009-08;2526253,987
2009-09;3967362,267
2009-10;2475281,414
2009-11;7108293,701
2009-12;3554946,63
2010-01;4131186,763
2010-02;4810421,033
2010-03;1702879,255
2010-04;2052602,853
2010-05;2496448,217
2010-06;1733326,938
2010-07;3378236,019
2010-08;1015578,444
2010-09;3272984,735
2010-10;1178050,953
2010-11;1243840,967
2010-12;1999739,263
2011-01;2168468,199
2011-02;2771214,412
2011-03;2029886,268
2011-04;2412312,408
2011-05;1469152,213
2011-06;2446109,482
2011-07;3002393,219
2011-08;2736835,182
2011-09;1538340,331
2011-10;2913304,572
2011-11;1411154,426
2011-12;1374627,286
2012-01;1315621,935
2012-02;2758007,198
2012-03;1753992,696
2012-04;1810748,384
2012-05;855922,4842
2012-06;1651126,741
2012-07;1792218,27
2012-08;1833464,424
2012-09;2507164,413
2012-10;4729003,901
2012-11;1072351,971
2012-12;4404759,968
2013-01;2184691,481
2013-02;2714965,634
2013-03;2720003,068
2013-04;2574331,273
2013-05;2263789,485
2013-06;1494663,407
2013-07;1733574,428
2013-08;2722164,707
2013-09;2595594,514
2013-10;2421430,561
2013-11;3193971,973
2013-12;1537948,669
2014-01;3743089,736
2014-02;3686600,764
2014-03;3420350,714
2014-04;2630587,293
2014-05;2686701,473
2014-06;3222012,303
2014-07;3460433,997
2014-08;1317321,616
2014-09;4000773,239
2014-10;3760981,919
2014-11;2404305,565
2014-12;4614782,322
2015-01;4831475,121
2015-02;1889412,444
2015-03;1468421,167
2015-04;1309422,875
2015-05;2497082,804
2015-06;2180829,304
2015-07;3133689,197
2015-08;3008597,498
2015-09;2409798,221
2015-10;4778025,916
2015-11;2949939,69
2015-12;5312462,391
2016-01;2190039,994
2016-02;3319437,855
2016-03;3596983,281
2016-04;6249712,594
2016-05;1711551,274
2016-06;1148872,56
2016-07;2662226,469
2016-08;2063224,839
2016-09;1110867,342
2016-10;3903328,99
2016-11;2284219,894
2016-12;2575823,485
2017-01;3321252,281
2017-02;3391495,228
2017-03;3266956,132
2017-04;4037372,123
2017-05;4797845,178
2017-06;1653891,137
2017-07;904712,8264
2017-08;3807314,278
2017-09;2966668,921
2017-10;3894262,23
2017-11;1549070,702
2017-12;1420034,934
2018-01;2951966,605
2018-02;1237272,295
2018-03;2293173,929
2018-04;1879260,4
2018-05;2546983,99
2018-06;1816240,255
2018-07;2603467,372
2018-08;2004946,802
2018-09;3261179,913
2018-10;1927048,096
2018-11;2993765,949
2018-12;2895457,708
2019-01;5342444,474
2019-02;2101586,308
2019-03;1843825,991
2019-04;2797412,326
2019-05;3787159,163
2019-06;1479023,164
2019-07;2556464,342
2019-08;1754344,228
2019-09;1320363,563
2019-10;4821292,074
2019-11;2385135,667
2019-12;1683537,459
2020-01;2317026,148
2020-02;1697555,336
2020-03;890106,3223
2020-04;1368830,007
2020-05;2405300,873
2020-06;3160584,867
2020-07;2349268,621
2020-08;1297434,479
2020-09;2343186,332
2020-10;1292761,635
2020-11;1269621,822
2020-12;1935413,752
2021-01;3405654,938
2021-02;2240165,581
2021-03;2386840,312
2021-04;970634,0209
2021-05;2009769,814
2021-06;2816467,746
2021-07;1020528,771
2021-08;1497799,954
2021-09;3213453,348
2021-10;1766363,925
2021-11;1575226,707
2021-12;583108,6453
2022-01;2334813,233
2022-02;1931539,686
2022-03;2765695,907
2022-04;3606156,6
2022-05;2264515,226
2022-06;2111590,011
2022-07;2519619,264
2022-08;1976078,019
2022-09;1125680,161
2022-10;1981481,712
2022-11;1027433,27
2022-12;1106471,186
2023-01;1221150,193
2023-02;1524600,812
2023-03;2429436,376
2023-04;859085,4151
2023-05;2951923,754
2023-06;1493017,649
2023-07;2662300,412
2023-08;1362902,49
2023-09;5633213,515
2023-10;3610345,085
2023-11;4593521,675
2023-12;3763851,869
2024-01;2346820,001
2024-02;2150710,671
2024-03;3832214,124
2024-04;4952589,304
2024-05;5217820,864
2024-06;2367866,408
2024-07;847673,555
2024-08;2398125,55
2024-09;2760067,897
2024-10;2461318,155
2024-11;1951622,895
2024-12;2453076,741
2025-01;1425349,058
2025-02;2395543,796
2025-03;1743424,365
2025-04;1801416,004
2025-05;3639800,176
2025-06;3932830,684
2025-07;1588304,566
2025-08;2278994,562
